Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
0,1,0,2,Yes,No,Credit card (automatic). 
0,0,0,1,Yes,No,Electronic check (automatic).
 0,0,0,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Bank transfer (automatic).
 0,0,0,2,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Credit card (automatic). 
0,0,0,2,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,1,0,1,Yes,No,Credit card (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,1,0,2,Yes,No,Bank transfer (automatic). 
0,0,0,2,Yes,Yes,Electronic check (automatic).
 0,1,0,1,Yes,Yes,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
 0,0,0,1,Yes,No,Bank transfer (automatic).
0,1,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic). 
0,0,0,1,Yes,Yes,Mailed check (automatic).
 0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
 0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic).
 0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,Yes,Mailed check (automatic). 
 0,0,0,1,Yes,No,Mailed check (automatic).
0,1,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Mailed check (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic). 
1,1,0,1,Yes,Yes,Bank transfer (automatic).
 1,1,1,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic).
1,1,0,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Credit card (automatic). 
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,1,2,Yes,Yes,Electronic check (automatic).
 0,1,1,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,1,0,1,Yes,Yes,Credit card (automatic).
0,0,1,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Mailed check (automatic). 
0,1,1,1,Yes,No,Mailed check (automatic).
 0,0,0,2,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Credit card (automatic).
0,0,0,3,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
 0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Mailed check (automatic). 
 0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic). 
1,0,0,2,Yes,No,Electronic check (automatic). 
0,0,0,1,Yes,No,Bank transfer (automatic). 
 1,1,0,1,Yes,No,Mailed check (automatic). 
0,1,1,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Credit card (automatic).
1,1,0,3,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
 0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,3,Yes,No,Bank transfer (automatic).
1,1,0,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
 1,0,0,1,Yes,Yes,Mailed check (automatic).
0,1,0,1,Yes,No,Bank transfer (automatic).
0,0,0,3,Yes,No,Electronic check (automatic). 
0,0,0,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
 0,1,0,0,Yes,No,Mailed check (automatic).
0,0,1,0,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,1,0,Yes,No,Credit card (automatic). 
0,0,0,1,Yes,Yes,Credit card (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
 0,1,0,1,Yes,No,Mailed check (automatic).
0,0,1,0,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Credit card (automatic).
0,1,0,1,Yes,No,Electronic check (automatic).
0,0,1,0,Yes,No,Credit card (automatic). 
 0,1,1,0,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
 0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
 0,1,1,1,Yes,No,Mailed check (automatic).
0,0,1,2,Yes,Yes,Electronic check (automatic).
0,1,0,1,Yes,Yes,Electronic check (automatic).
0,1,0,2,Yes,Yes,Credit card (automatic).
0,0,0,2,Yes,Yes,Mailed check (automatic).
 0,1,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic). 
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
 0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Electronic check (automatic). 
0,1,1,2,No,No,Mailed check (automatic).
0,0,0,1,Yes,No,Credit card (automatic).
 0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic).
0,0,1,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,1,0,2,Yes,No,Mailed check (automatic). 
0,0,0,2,Yes,No,Credit card (automatic).
 0,0,0,1,Yes,No,Credit card (automatic).
0,1,0,2,Yes,No,Electronic check (automatic).
0,1,0,1,Yes,No,Credit card (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
0,1,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Bank transfer (automatic).
0,0,0,2,Yes,No,Credit card (automatic).
0,0,1,3,Yes,No,Mailed check (automatic).
 0,0,0,3,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
 0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Electronic check (automatic). 
0,0,0,1,Yes,No,Bank transfer (automatic).
 0,0,0,1,Yes,No,Mailed check (automatic).
0,1,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
 0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,Yes,Electronic check (automatic).
0,0,0,2,Yes,Yes,Mailed check (automatic). 
0,0,0,2,Yes,Yes,Mailed check (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
 0,0,0,1,Yes,Yes,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic). 
0,1,0,1,Yes,No,Bank transfer (automatic).
0,1,1,1,Yes,No,Mailed check (automatic).
 0,0,0,3,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,1,0,1,Yes,Yes,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic). 
 0,1,1,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Credit card (automatic).
0,1,0,2,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Electronic check (automatic).
0,1,0,2,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Credit card (automatic). 
0,0,0,2,Yes,No,Credit card (automatic).
0,0,0,2,Yes,Yes,Electronic check (automatic).
 0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,Yes,Bank transfer (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
 0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic). 
0,0,0,2,Yes,No,Credit card (automatic).
0,0,1,1,Yes,No,Electronic check (automatic).
 0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic). 
0,0,1,1,Yes,No,Mailed check (automatic).
 0,0,0,1,Yes,Yes,Bank transfer (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic). 
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
 0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,Yes,Electronic check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
 0,1,1,1,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Credit card (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,1,1,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic). 
0,0,0,1,Yes,No,Credit card (automatic).
0,0,0,2,Yes,Yes,Mailed check (automatic).
1,1,1,1,Yes,No,Electronic check (automatic).
1,1,1,1,Yes,Yes,Electronic check (automatic). 
0,0,0,2,Yes,No,Mailed check (automatic).
1,0,1,1,Yes,No,Mailed check (automatic).
 2,1,1,1,Yes,No,Credit card (automatic).
2,0,0,1,Yes,Yes,Mailed check (automatic).
1,0,1,2,Yes,Yes,Bank transfer (automatic).
1,0,0,1,Yes,No,Electronic check (automatic).
0,1,0,1,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
1,1,0,1,Yes,No,Electronic check (automatic). 
1,1,0,1,No,No phone call,Electronic check (automatic).
 2,1,0,2,Yes,No,Electronic check (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,1,1,1,Yes,No,Electronic check (automatic). 
0,0,1,1,Yes,No,Credit card (automatic).
 2,1,0,2,Yes,Yes,Electronic check (automatic).
0,0,0,2,Yes,Yes,Mailed check (automatic).
0,1,0,1,Yes,Yes,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
 2,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Mailed check (automatic). 
0,0,0,2,Yes,Yes,Bank transfer (automatic).
0,0,0,4,Yes,No,Mailed check (automatic).
 0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,1,0,1,Yes,No,Mailed check (automatic). 
1,1,0,1,Yes,No,Credit card (automatic).
1,1,1,2,Yes,No,Bank transfer (automatic). 
 1,0,0,1,Yes,No,Credit card (automatic).
1,1,1,1,Yes,No,Electronic check (automatic).
1,1,0,2,Yes,No,Mailed check (automatic).
1,0,0,4,Yes,Yes,Credit card (automatic).
1,1,1,1,Yes,No,Bank transfer (automatic).
1,1,0,2,Yes,No,Bank transfer (automatic). 
1,1,0,1,Yes,No,Electronic check (automatic).
1,0,0,1,Yes,No,Mailed check (automatic).
1,1,0,2,Yes,No,Mailed check (automatic).
1,0,0,3,Yes,Yes,Mailed check (automatic).
1,0,0,1,Yes,No,Mailed check (automatic).
0,1,0,2,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Mailed check (automatic). 
0,0,0,1,Yes,No,Bank transfer (automatic).
 2,1,1,1,Yes,No,Mailed check (automatic).
1,0,0,1,Yes,No,Bank transfer (automatic).
1,1,0,1,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Electronic check (automatic).
1,1,0,1,Yes,No,Mailed check (automatic).
0,1,1,1,Yes,No,Electronic check (automatic). 
0,0,0,2,No,No phone,Mailed check (automatic).
1,1,0,2,Yes,No,Electronic check (automatic).
 1,1,0,2,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,Yes,Electronic check (automatic).
0,1,0,2,Yes,Yes,Electronic check (automatic).
0,0,0,2,No,No phone,Mailed check (automatic).
0,1,1,1,No,No phone,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic). 
0,0,1,1,No,No,Bank transfer (automatic).
 0,0,1,1,Yes,Yes,Bank transfer (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,1,1,1,No,No,Mailed check (automatic).
0,0,1,1,No,No,Bank transfer (automatic).
 0,0,0,1,No,No phone,Mailed check (automatic).
0,0,0,1,No,No phone,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic). 
0,0,0,1,Yes,No,Mailed check (automatic).
 0,0,0,1,No,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,1,No,No,Bank transfer (automatic).
0,0,1,1,No,No phone,Mailed check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Bank transfer (automatic). 
0,0,0,2,No,No,Mailed check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
 0,1,1,1,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
0,0,0,1,Yes,No,Mailed check (automatic).
0,0,1,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,No,Credit card (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,0,0,1,Yes,No,Electronic check (automatic). 
0,0,0,2,Yes,No,Bank transfer (automatic).
 0,0,0,2,Yes,No,Credit card (automatic).
0,0,1,1,Yes,No,Credit card (automatic).
0,0,0,2,Yes,No,Mailed check (automatic).
0,1,0,1,Yes,No,Electronic check (automatic). 
1,1,0,3,Yes,Yes,Mailed check (automatic).
1,1,0,4,Yes,Yes,Credit card (automatic).
 2,1,1,1,Yes,No,Mailed check (automatic).
2,0,0,1,Yes,No,Electronic check (automatic).
2,1,0,1,Yes,No,Credit card (automatic).
1,0,0,1,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,1,Yes,Yes,Mailed check (automatic).
0,0,0,3,Yes,No,Electronic check (automatic). 
0,0,0,2,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Electronic check (automatic).
 0,0,0,1,Yes,No,Mailed check (automatic).
0,0,0,2,Yes,Yes,Bank transfer (automatic).
0,0,0,3,Yes,No,Credit card (automatic).
0,0,1,1,Yes,No,Credit card (automatic).
0,0,0,2,Yes,No,Bank transfer (automatic).
0,0,0,2,Yes,No,Credit card (automatic).
0,1,1,1,Yes,No,Bank transfer (automatic). 
0,0,1,1,Yes,No,Electronic check.
0,1,1,1,Yes,No,Bank transfer (automatic).
0,0,1,1,Yes,No,Credit card (automatic). 
0,0,1,1,Yes,No,Mailed check.
0,0,2,0,Yes,No,Bank transfer (automatic).
 0,0,1,1,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check.
0,1,0,1,Yes,No,Mailed check.
0,0,0,2,Yes,No,Mailed check.
0,0,0,1,Yes,No,Mailed check.
 0,0,0,1,Yes,No,Bank transfer (automatic).
0,1,0,1,Yes,No,Electronic check.
0,0,0,2,Yes,No,Mailed check.
0,0,0,3,Yes,No,Electronic check. 
0,1,0,2,Yes,Yes,Bank transfer (automatic).
0,0,0,3,Yes,No,Credit card (automatic).
0,0,0,1,Yes,No,Mailed check.
0,0,1,1,Yes,No,Electronic check.
0,0,0,1,Yes,Yes,Electronic check.
 0,0,0,4,Yes,No,Mailed check.
0,0,0,2,Yes,No,Bank transfer (automatic). 
0,0,0,2,Yes,No,Bank transfer (automatic). 
0,0,1,1,Yes,No,Mailed check. 
0,0,0,2,Yes,Yes,Electronic check.
0,0,0,1,Yes,No,Bank transfer (automatic). 
0,0,0,3,Yes,No,Mailed check. 
0,1,1,1,Yes,No,Mailed check. 
0,0,0,1,Yes,Yes,Bank transfer (automatic). 
